date,soc_start_kWh,soc_end_kWh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_grid_kWh,emergency_grid_kWh,emergency_intervals,charge_kWh,discharge_kWh,surplus_kWh,solve_time_s
2025-02-23,8550.0,8550.0,51122.85505086873,536.4031360413335,51659.25818691007,82470.9315836,167.55666400000018,9,23166.66658,18764.999985000002,6704.967969266668,0.12784429999737768
2025-02-24,8550.0,8550.0,50577.715277115996,161.19761371999928,50738.91289083599,81832.39931099999,29.854576666666503,5,23176.740204,18773.159635,9255.639702000002,0.14333549999719253
2025-02-25,8550.0,8550.0,50317.92838408376,334.34534908466634,50652.273733168426,81432.27898110001,86.28059399999998,6,23166.66658,18764.999988,11295.56974976667,0.1277856000015163
2025-02-26,8550.0,8550.0,49608.3635396639,674.7210777596641,50283.08461742356,80488.99402700001,161.83113733333275,8,23245.0724248,18828.50875,7419.413456200004,0.13115140000445535
2025-02-27,8550.0,7208.9396,48327.237219421,1006.9859999149986,49334.223219335996,78083.7755166,198.78561666666639,4,21787.0445451,18854.460456,8393.39284416667,0.13683450000098674
2025-02-28,7208.9396,6833.9904,18705.2260314097,1392.8666213116671,20098.092652721367,35991.420721,416.3436133333335,11,17656.24862,14639.015685,10097.937849333333,0.13681820000056177
2025-03-01,6833.9904,8550.0,19342.983093493902,1778.7591129286666,21121.74220642257,37634.862166,602.3678880000001,9,19601.9824,14333.197116,9309.678836666666,0.1230059999943478
2025-03-02,8550.0,8550.0,47523.5129727846,13450.02533166541,60973.53830445001,77510.30761,3548.700274833332,11,23177.384511,18773.6814935,4296.997800666669,0.131609700001718
2025-03-03,8550.0,8550.0,47701.1758240637,9467.524209095329,57168.700033159024,77820.80692999999,2222.805398333333,12,23258.496869200004,18839.3825633,3607.3513891000025,0.13859400000364985
2025-03-04,8550.0,8550.0,48135.491329905126,1284.0818105566648,49419.57314046179,78338.6194027,417.9078133333329,10,23195.6598493,18788.484524,5149.893957400001,0.14900219999981346
2025-03-05,8550.0,8550.0,48652.518681358095,289.6391174826661,48942.15779884076,79113.7459018,65.54450733333316,5,23221.860363,18809.706941999997,8636.66497146667,0.14239989999623504
